table_id,result
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,bankerSuper6
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,tie
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,bankerSuper6
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,tie
193af40a-e645-4fdd-a810-dd9639b4f858,tie
193af40a-e645-4fdd-a810-dd9639b4f858,bankerSuper6
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
193af40a-e645-4fdd-a810-dd9639b4f858,banker
193af40a-e645-4fdd-a810-dd9639b4f858,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,bankerSuper6
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,tie
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,tie
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,tie
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,player
c804cb89-1808-4b40-a02b-fe1c42198cb1,banker
c804cb89-1808-4b40-a02b-fe1c42198cb1,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,bankerSuper6
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,tie
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,player
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
7000e4ea-74bc-4c7f-b0ef-31655d1ec217,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,bankerSuper6
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,tie
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,tie
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,tie
0954ffc2-5937-4932-a3f7-f020b4fcc433,banker
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,bankerSuper6
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
0954ffc2-5937-4932-a3f7-f020b4fcc433,player
